지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2016-01-01,1.2,-3.3,456,4,1442,,,,,,
108,서울,2016-01-02,5.7,1,744,9.5,1514,,,,,,
108,서울,2016-01-03,6.5,5.1,2359,9.4,1506,,,,,,
108,서울,2016-01-04,2,-2.5,2350,5.3,1313,,,,,,
108,서울,2016-01-05,-2.7,-4.8,844,1.5,1512,,,,,,
108,서울,2016-01-06,-1.7,-4.9,230,1.7,1229,,,,,,
108,서울,2016-01-07,-3.4,-5.9,732,1.4,1443,,,,,,
108,서울,2016-01-08,-3.3,-6.9,408,1,1515,,,,,,
108,서울,2016-01-09,-2.1,-6.2,813,2.4,1344,,,,,,
108,서울,2016-01-10,.3,-2.7,2342,3.8,1256,,,,,,
108,서울,2016-01-11,-3.8,-6.5,802,.9,1505,,,,,,
108,서울,2016-01-12,-5.2,-9.1,637,.7,1536,,,,,,
108,서울,2016-01-13,-4.5,-8.2,321,.1,1311,3.42,,,,,.4
108,서울,2016-01-14,-3.4,-8.4,658,1.3,1446,2.1,,,,,0
108,서울,2016-01-15,-.4,-4.3,740,5.3,1511,,,,,,
108,서울,2016-01-16,-.2,-2.1,43,2.8,1547,4.83,,,,,.1
108,서울,2016-01-17,1.7,-.7,514,5.4,1513,,,,,,
108,서울,2016-01-18,-6.3,-12.3,2340,.4,209,4.9,,,,,.2
108,서울,2016-01-19,-12.8,-15.1,805,-8.9,1411,,,,,,
108,서울,2016-01-20,-10.5,-14.5,704,-5.2,1604,,,,,,
108,서울,2016-01-21,-7.1,-10.2,3,-2.3,1442,,,,,,
108,서울,2016-01-22,-7.6,-11.1,551,-3.8,1516,,,,,,
108,서울,2016-01-23,-11.5,-16,2356,-8.3,1,.58,,,,,0
108,서울,2016-01-24,-14.4,-18,730,-10.5,1620,,,,,,
108,서울,2016-01-25,-9.4,-14.3,535,-3.4,1525,,,,,,
108,서울,2016-01-26,-3.3,-8.5,230,1.7,1540,8.33,,,,,.3
108,서울,2016-01-27,-1.1,-4.7,734,4.3,1535,,,,,,
108,서울,2016-01-28,-.5,-5.6,629,3.5,1555,,,,,,
108,서울,2016-01-29,1.9,-1.4,610,5.4,1548,,,,,,
108,서울,2016-01-30,.6,-2.5,750,5.2,1142,,,,,,
108,서울,2016-01-31,-3.9,-6.5,2352,.3,1452,,,,,,
108,서울,2016-02-01,-6,-9.1,606,-1,1535,,,,,,
108,서울,2016-02-02,-5.3,-10,757,.9,1601,,,,,,
108,서울,2016-02-03,-2.4,-8.3,736,4,1458,,,,,,
108,서울,2016-02-04,-.7,-4,400,3.9,1448,,,,,,
108,서울,2016-02-05,-2.2,-6.8,517,3.4,1504,,,,,,
108,서울,2016-02-06,-3.1,-6.2,643,2,1509,,,,,,
108,서울,2016-02-07,-2.9,-8.3,728,3.5,1434,,,,,,
108,서울,2016-02-08,1.3,-4.3,720,5.5,1432,,,,,,
108,서울,2016-02-09,.3,-3.9,758,5.5,1346,,,,,,
108,서울,2016-02-10,2.7,-4.3,731,10.7,1442,,,,,,
108,서울,2016-02-11,8.1,1.6,501,13.5,1603,2.08,,,,,.1
108,서울,2016-02-12,8.4,6.8,645,10,1,24,,,,,18
108,서울,2016-02-13,11,5.8,2400,14.4,1433,14.1,,,,,21
108,서울,2016-02-14,-2.6,-6.8,2359,5.8,1,9,,,,,2.5
108,서울,2016-02-15,-5.8,-10,707,-2.3,1612,1.72,,,,,0
108,서울,2016-02-16,-2.7,-6.7,553,1.1,1703,4.92,,,,,.8
108,서울,2016-02-17,0,-5.2,540,5.4,1513,,,,,,
108,서울,2016-02-18,3.5,-1.4,640,7.8,1610,,,,,,
108,서울,2016-02-19,2.3,.1,607,4.4,1519,,,,,,
108,서울,2016-02-20,1.3,-2.5,2349,6.3,1407,,,,,,
108,서울,2016-02-21,-.6,-4.2,704,4.4,1526,,,,,,
108,서울,2016-02-22,1.1,-2.2,446,4.2,1536,2.25,,,,,0
108,서울,2016-02-23,.7,-4.5,2357,4.5,1444,2.5,,,,,.9
108,서울,2016-02-24,-3,-6.8,741,2.2,1429,,,,,,
108,서울,2016-02-25,-.2,-5.8,248,5.7,1606,,,,,,
108,서울,2016-02-26,2.2,-3.2,634,7.5,1502,.5,,,,,0
108,서울,2016-02-27,3.3,.5,732,8.1,1424,3.83,,,,,.2
108,서울,2016-02-28,.7,-2.6,2355,6.9,1133,4,,,,,4.1
108,서울,2016-02-29,-3.8,-5.9,2359,-1.1,1605,2.05,,,,,0
108,서울,2016-03-01,-2.7,-7.5,735,2.1,1535,,,,,,
108,서울,2016-03-02,3.1,-2.2,33,8.1,1508,,,,,,
108,서울,2016-03-03,8.1,4.4,1,13.9,1551,,,,,,
108,서울,2016-03-04,13.2,6.4,558,20.3,1525,1.03,,,,,.1
108,서울,2016-03-05,11.3,9.1,2355,13.5,1,10.87,,,,,40
108,서울,2016-03-06,7.9,4.3,718,12.9,1510,2.92,,,,,.2
108,서울,2016-03-07,8.1,4.8,125,12.2,1638,.17,,,,,0
108,서울,2016-03-08,2.7,-1.4,2351,7,1,,,,,,
108,서울,2016-03-09,.3,-2.7,649,5.3,1514,,,,,,
108,서울,2016-03-10,-1.1,-4.3,711,3.1,1501,,,,,,
108,서울,2016-03-11,-.5,-5.5,631,4.6,1515,,,,,,
108,서울,2016-03-12,2,-3.3,607,6.4,1402,,,,,,
108,서울,2016-03-13,3.7,1.9,523,6.5,1625,2,,,,,.1
108,서울,2016-03-14,4.7,1.3,655,9.6,1557,,,,,,
108,서울,2016-03-15,5.2,-1,653,12.4,1457,,,,,,
108,서울,2016-03-16,7.5,2.7,657,13.8,1350,,,,,,
108,서울,2016-03-17,9.3,2,700,14.7,1252,,,,,,
108,서울,2016-03-18,13.4,8.8,103,20.1,1504,,,,,,
108,서울,2016-03-19,11.4,6.6,644,18.1,1539,,,,,,
108,서울,2016-03-20,10.6,4.9,700,17.5,1500,,,,,,
108,서울,2016-03-21,9.9,5.5,712,16.1,1343,,,,,,
108,서울,2016-03-22,8,3.5,640,13.8,1406,,,,,,
108,서울,2016-03-23,8.2,3.8,712,13.8,1248,,,,,,
108,서울,2016-03-24,7.2,1.6,624,12.7,1512,,,,,,
108,서울,2016-03-25,7.1,2.1,655,12.6,1538,,,,,,
108,서울,2016-03-26,6.5,2.1,709,12.6,1338,,,,,,
108,서울,2016-03-27,7.2,2.2,641,13.1,1257,,,,,,
108,서울,2016-03-28,9.8,2.3,624,17.4,1534,,,,,,
108,서울,2016-03-29,11.3,7.6,551,17.1,1317,1.17,,,,,.1
108,서울,2016-03-30,11.5,7,451,18.3,1453,,,,,,
108,서울,2016-03-31,13.5,6,548,21.4,1547,,,,,,
108,서울,2016-04-01,15.3,7.3,625,23.8,1333,,,,,,
108,서울,2016-04-02,15,9.6,642,21.7,1503,,,,,,
108,서울,2016-04-03,10.7,8.2,2355,12.7,1437,8.43,.5,1229,1,1500,2
108,서울,2016-04-04,12.3,5.1,625,19.8,1431,,,,,,
108,서울,2016-04-05,11.4,5.9,650,18.1,1346,,,,,,
108,서울,2016-04-06,14.4,6.6,418,22.9,1621,2.12,1,2319,2.5,2242,3
108,서울,2016-04-07,14.1,10.5,300,20.6,1412,6.95,.5,0,2,2,7.5
108,서울,2016-04-08,11.1,7.8,2349,18.7,1323,,,,,,
108,서울,2016-04-09,10.7,7.4,136,14.1,1528,,,,,,
108,서울,2016-04-10,13.4,9.3,2359,20.7,1345,,,,,,
108,서울,2016-04-11,12.5,5.7,553,19.4,1614,,,,,,
108,서울,2016-04-12,14.1,10.3,629,19.4,1348,,,,,,
108,서울,2016-04-13,15.6,11.4,726,21.4,1453,7.5,.5,652,1,629,1
108,서울,2016-04-14,12.4,9.3,858,18.6,1527,,,,,,
108,서울,2016-04-15,15,8.1,406,23.1,1513,,,,,,
108,서울,2016-04-16,14.9,9.8,538,20.7,1226,11.17,2,1958,7.5,1936,23.5
108,서울,2016-04-17,10.8,8.3,2358,14.5,1428,5.67,2,106,7.5,38,20.5
108,서울,2016-04-18,11.2,7.1,608,18.6,1413,2.13,.5,1713,1.5,1707,1.5
108,서울,2016-04-19,12,6.5,614,19.2,1623,,,,,,
108,서울,2016-04-20,14.3,10.1,254,20.9,1342,7.2,.1,1847,.3,1844,.5
108,서울,2016-04-21,13.5,10.3,539,16.9,1644,11.83,1,326,4,657,17
108,서울,2016-04-22,13.5,10.1,2332,18.6,1209,.5,0,,0,,0
108,서울,2016-04-23,13.5,7.8,606,19.8,1457,,,,,,
108,서울,2016-04-24,15.5,8.1,602,23.7,1603,,,,,,
108,서울,2016-04-25,17.2,10.2,533,25.3,1443,,,,,,
108,서울,2016-04-26,21.1,12.1,542,29.6,1627,,,,,,
108,서울,2016-04-27,17.2,14.5,2357,20.7,1407,,,,,,
108,서울,2016-04-28,17.2,12.4,551,23,1512,,,,,,
108,서울,2016-04-29,16.2,10.9,605,22.6,1353,.23,.3,206,.3,204,.3
108,서울,2016-04-30,15.9,10.8,424,20.4,1450,,,,,,
108,서울,2016-05-01,18.8,12.2,520,26,1429,,,,,,
108,서울,2016-05-02,21.1,16.5,551,28.4,1346,7.08,2.5,2143,7,2119,16.5
108,서울,2016-05-03,12.9,8.9,2119,17.6,1,20.72,3,954,6,904,27
108,서울,2016-05-04,15.7,10.2,1,20.6,1546,,,,,,
108,서울,2016-05-05,18.9,10.2,607,26.9,1536,3.33,2.5,2305,6,2236,7.5
108,서울,2016-05-06,16.3,13,2331,18.6,651,10.87,2,745,5,727,9.5
108,서울,2016-05-07,16.5,10.7,603,22.6,1540,,,,,,
108,서울,2016-05-08,19.4,11.6,544,26.8,1554,,,,,,
108,서울,2016-05-09,20.2,16.3,556,25.4,1215,.28,0,,0,,0
108,서울,2016-05-10,14.5,12.5,2400,18.1,1,12.5,.5,459,2.5,950,13.5
108,서울,2016-05-11,16.4,10.4,522,23.5,1537,,,,,,
108,서울,2016-05-12,17.8,12.1,449,24,1454,,,,,,
108,서울,2016-05-13,18.6,12.7,312,25.4,1652,3.08,.5,200,.5,110,.5
108,서울,2016-05-14,20.2,15.1,528,26.9,1537,,,,,,
108,서울,2016-05-15,17.4,12.3,2350,24.2,1238,10.17,3.5,1641,12,1617,45
108,서울,2016-05-16,15.9,10.8,240,21.9,1528,2.33,.5,2,1.5,-2331,2.5
108,서울,2016-05-17,19.3,10.9,532,26.6,1653,,,,,,
108,서울,2016-05-18,22.3,13.5,557,29.5,1441,,,,,,
108,서울,2016-05-19,24.3,16.3,605,31.9,1559,,,,,,
108,서울,2016-05-20,24,16.8,527,31.6,1552,,,,,,
108,서울,2016-05-21,24.1,17.8,531,30.4,1410,,,,,,
108,서울,2016-05-22,24.7,17.6,603,31.7,1629,,,,,,
108,서울,2016-05-23,23.3,18.3,620,29.4,1410,,,,,,
108,서울,2016-05-24,16.8,15.4,2345,21.8,5,11.17,2.5,332,7.5,327,38.5
108,서울,2016-05-25,19.7,15.3,27,24.4,1420,,,,,,
108,서울,2016-05-26,19.4,17.5,2357,22.9,1207,1.25,0,,0,,0
108,서울,2016-05-27,20.9,14.8,550,27.1,1455,,,,,,
108,서울,2016-05-28,21.7,17.2,605,28,1502,,,,,,
108,서울,2016-05-29,21.5,17.2,155,27.6,1543,,,,,,
108,서울,2016-05-30,22.1,16.9,553,28.9,1450,,,,,,
108,서울,2016-05-31,21.6,17.4,537,27.6,1433,,,,,,
108,서울,2016-06-01,23.3,17.1,400,29.9,1558,,,,,,
108,서울,2016-06-02,23.2,17.2,535,29.1,1345,,,,,,
108,서울,2016-06-03,22.2,17.6,517,27.7,1431,,,,,,
108,서울,2016-06-04,21.2,18.2,426,26.3,1530,,,,,,
108,서울,2016-06-05,24.7,17.3,528,32.2,1551,,,,,,
108,서울,2016-06-06,23.3,20.8,558,28.4,1330,.83,0,,0,,0
108,서울,2016-06-07,21.7,19.6,343,25.9,1659,2.32,.1,,.1,,.1
108,서울,2016-06-08,22.1,18.2,528,27.7,1431,,,,,,
108,서울,2016-06-09,24.1,17.8,538,31.3,1501,,,,,,
108,서울,2016-06-10,24.6,20.2,551,31.3,1359,,,,,,
108,서울,2016-06-11,23.5,20.9,336,26.5,1453,2.8,1.5,1516,1.5,1507,3
108,서울,2016-06-12,23.5,19.9,2358,26.7,1449,1.87,1,515,1.5,-2331,1.5
108,서울,2016-06-13,23.5,19.4,446,29.6,1517,,,,,,
108,서울,2016-06-14,23.8,19.7,506,29.5,1454,1.18,0,,0,,0
108,서울,2016-06-15,20.9,17.4,743,24.5,1223,11,2.5,629,7,539,15.5
108,서울,2016-06-16,20.9,18.6,603,24.9,1530,.27,0,,0,,0
108,서울,2016-06-17,23.8,18.6,246,29.1,1527,,,,,,
108,서울,2016-06-18,24.5,20.1,522,29.9,1524,,,,,,
108,서울,2016-06-19,24.1,20.3,451,29.3,1532,1,0,,0,,0
108,서울,2016-06-20,24.7,19.6,512,30.7,1625,,,,,,
108,서울,2016-06-21,26,21,522,31.3,1313,,,,,,
108,서울,2016-06-22,24.3,20.9,2341,30.2,1313,4.37,16.5,1355,26,1339,30.5
108,서울,2016-06-23,24.7,19.6,434,29.4,1423,1.38,.1,,.1,,.1
108,서울,2016-06-24,23.1,21.1,2354,25.7,1536,11.5,.5,36,1,619,3.5
108,서울,2016-06-25,22.8,19.2,459,26.7,1705,,,,,,
108,서울,2016-06-26,24.4,19.4,532,30.3,1443,,,,,,
108,서울,2016-06-27,24.4,19.9,458,29.5,1507,,,,,,
108,서울,2016-06-28,24.7,20.4,531,29.7,1405,,,,,,
108,서울,2016-06-29,25.3,20.9,535,30.2,1420,,,,,,
108,서울,2016-06-30,24.6,23,455,26.9,1238,5.28,.1,,.1,,.2
108,서울,2016-07-01,24,22,2305,26.6,1159,13.03,20.5,1526,31.5,1440,108.5
108,서울,2016-07-02,23.5,20.6,630,27.7,1645,6.17,.5,1,2,121,4
108,서울,2016-07-03,23.5,21.1,449,26.8,1711,,,,,,
108,서울,2016-07-04,21.8,20.2,2331,24.1,848,13.67,6.5,2224,13,2139,29.5
108,서울,2016-07-05,23.1,20.2,1,24.8,1556,22.92,10.5,838,40,839,100.5
108,서울,2016-07-06,22.9,20.3,434,26.9,1727,1.25,0,,0,,0
108,서울,2016-07-07,24,20.1,245,28.5,1534,.92,0,,0,,0
108,서울,2016-07-08,27.3,21.2,546,32.4,1621,,,,,,
108,서울,2016-07-09,27.7,23.2,548,32.7,1518,,,,,,
108,서울,2016-07-10,27.9,23.2,558,33.1,1425,,,,,,
108,서울,2016-07-11,28.4,24.8,619,33.4,1450,.7,0,,0,,0
108,서울,2016-07-12,26.3,22.1,638,30.9,1325,5.25,1,552,2,520,3
108,서울,2016-07-13,26.3,23.2,510,29.5,1518,.5,0,,0,,0
108,서울,2016-07-14,27.5,24,539,32.4,1535,1.3,.1,,.1,,.1
108,서울,2016-07-15,26.2,23.7,543,29.2,1056,4.17,.5,2306,1.4,2249,1.5
108,서울,2016-07-16,20.8,19.8,605,23.8,1,22.25,2.5,543,9,541,46.5
108,서울,2016-07-17,21.7,20.4,451,23.1,1309,6.25,1,18,2.5,-2347,2.5
108,서울,2016-07-18,24.4,20.7,417,28.4,1734,1.17,.1,,.2,,.2
108,서울,2016-07-19,27.1,20.9,523,32.4,1456,,,,,,
108,서울,2016-07-20,28.6,24,551,32.9,1511,,,,,,
108,서울,2016-07-21,28.3,24.9,553,32.2,1559,,,,,,
108,서울,2016-07-22,29.1,25.3,603,34.1,1620,,,,,,
108,서울,2016-07-23,28.7,27.2,450,31.6,1301,2.82,.4,1922,.4,1855,.5
108,서울,2016-07-24,28,27,325,30.1,1626,1.78,.5,1213,.5,1205,.5
108,서울,2016-07-25,28.4,26.4,445,31.4,1534,,,,,,
108,서울,2016-07-26,28.4,25.6,452,31.9,1435,,,,,,
108,서울,2016-07-27,27.6,26.7,326,28.9,1231,2.17,.4,1406,.5,1330,.5
108,서울,2016-07-28,28,26.7,2106,30.5,1528,1.22,.2,,.2,,.2
108,서울,2016-07-29,26.3,23.4,729,28.4,1638,8.63,14.5,638,51.5,626,59.5
108,서울,2016-07-30,28.6,26.4,458,33,1536,3.75,.5,23,.5,0,.5
108,서울,2016-07-31,28.9,26.6,614,32.8,1506,1.25,.1,,.1,,.2
108,서울,2016-08-01,28.4,25.8,458,32.4,1351,,,,,,
108,서울,2016-08-02,27.2,25,2115,31.1,1511,1.5,1,1812,2,1758,2
108,서울,2016-08-03,29.1,24,542,34.2,1615,,,,,,
108,서울,2016-08-04,30.7,26,600,35.7,1633,,,,,,
108,서울,2016-08-05,31.2,26.5,547,36,1643,,,,,,
108,서울,2016-08-06,30.5,26.6,607,34,1532,,,,,,
108,서울,2016-08-07,30.6,27,604,35,1503,,,,,,
108,서울,2016-08-08,30.5,26.4,546,35.5,1528,,,,,,
108,서울,2016-08-09,29.3,26.4,610,33.6,1309,2.02,.5,1611,.5,1605,1
108,서울,2016-08-10,29.4,26.1,534,34.8,1517,,,,,,
108,서울,2016-08-11,30.5,26.1,608,36.4,1508,,,,,,
108,서울,2016-08-12,30.4,26.4,531,35.9,1505,,,,,,
108,서울,2016-08-13,30.2,26.8,556,35.1,1443,,,,,,
108,서울,2016-08-14,28.9,27.3,2359,31.8,1210,.33,.2,,.2,,.2
108,서울,2016-08-15,29.1,25.8,610,34,1534,.67,0,,0,,0
108,서울,2016-08-16,29.3,26.2,611,34.9,1431,.92,.5,1555,.5,1530,.5
108,서울,2016-08-17,29.9,25.1,603,34.7,1455,,,,,,
108,서울,2016-08-18,29.9,26.2,605,34.3,1228,,,,,,
108,서울,2016-08-19,28.9,26.6,1749,33.2,1503,1.42,4.5,1727,11.5,1644,11.5
108,서울,2016-08-20,30.1,26.5,539,34.9,1540,,,,,,
108,서울,2016-08-21,30.7,26.9,619,36.6,1544,.67,0,,0,,0
108,서울,2016-08-22,30.7,25.8,609,36.3,1632,.33,.4,1912,.4,,.4
108,서울,2016-08-23,28.3,26,604,33,1242,2.67,3,1555,7,1505,8
108,서울,2016-08-24,29.1,26.4,550,32.9,1626,.58,0,,0,,0
108,서울,2016-08-25,27.1,24,2241,32.2,1327,3.18,1.5,1944,3.5,1914,4.5
108,서울,2016-08-26,23,19.5,716,28.2,1640,6.08,1.5,302,6.5,256,20
108,서울,2016-08-27,23.4,16.9,629,29.7,1557,1.25,0,,0,,0
108,서울,2016-08-28,21,18.3,2324,24.5,1025,7.07,.5,1636,1.5,1611,1.5
108,서울,2016-08-29,22.2,17.4,535,27.1,1318,,,,,,
108,서울,2016-08-30,20.6,17.9,629,24.5,1304,1.33,0,,0,,0
108,서울,2016-08-31,17.7,16.1,536,19.2,1958,16.92,1,1124,3,1043,17.5
108,서울,2016-09-01,23.2,15.8,556,28.6,1420,,,,,,
108,서울,2016-09-02,24.2,20.6,554,29,1535,1.5,3,214,4.5,205,4.5
108,서울,2016-09-03,23.9,20.4,244,28.6,1646,2.67,.5,58,.5,25,.5
108,서울,2016-09-04,25.6,22.1,239,29.6,1402,,,,,,
108,서울,2016-09-05,26.4,23,615,31.1,1606,,,,,,
108,서울,2016-09-06,24.7,21,635,29,1357,,,,,,
108,서울,2016-09-07,24.3,20.9,610,28.6,1457,,,,,,
108,서울,2016-09-08,23,21.5,635,26.5,1113,2.85,1.5,1239,3.5,1154,4.5
108,서울,2016-09-09,23.9,19.7,518,29.3,1430,,,,,,
108,서울,2016-09-10,24.4,20,458,29.1,1541,,,,,,
108,서울,2016-09-11,24.5,22.1,530,28.2,1308,,,,,,
108,서울,2016-09-12,23.4,21.4,2341,27.5,1339,.78,1.5,1409,2.5,1358,2.5
108,서울,2016-09-13,24.6,19.6,615,30.8,1352,,,,,,
108,서울,2016-09-14,24.6,21.4,2348,28.9,1459,,,,,,
108,서울,2016-09-15,23.9,18.8,544,29.5,1412,,,,,,
108,서울,2016-09-16,24.6,20.4,642,29.5,1233,,,,,,
108,서울,2016-09-17,23.1,18.5,823,28.2,1445,7.5,1,631,3.5,628,7
108,서울,2016-09-18,23.5,20.2,545,28.3,1549,,,,,,
108,서울,2016-09-19,21.9,18.2,607,27.8,1510,,,,,,
108,서울,2016-09-20,20.6,15.4,623,26.8,1514,,,,,,
108,서울,2016-09-21,20.2,14.3,628,25.3,1349,,,,,,
108,서울,2016-09-22,21.9,17.5,630,27.2,1648,,,,,,
108,서울,2016-09-23,21.4,16.4,623,27.9,1413,,,,,,
108,서울,2016-09-24,22.3,16.5,637,28.9,1538,,,,,,
108,서울,2016-09-25,23,18.6,651,29.7,1535,,,,,,
108,서울,2016-09-26,23.6,19.7,609,28.9,1445,,,,,,
108,서울,2016-09-27,21,19.1,2352,23.8,1031,14.5,1,1343,4,1341,13.5
108,서울,2016-09-28,19.9,18.7,450,21.8,1552,3.25,.5,1,.5,1,.5
108,서울,2016-09-29,20.4,18.2,435,24.8,1333,,,,,,
108,서울,2016-09-30,20.5,17.7,536,23.5,1406,,,,,,
108,서울,2016-10-01,21.1,17.5,617,25.6,1602,,,,,,
108,서울,2016-10-02,19,16.7,1759,22.4,2349,13.83,2,1225,6.5,1700,18.5
108,서울,2016-10-03,22.7,19.6,2358,27.9,1538,7.17,1,608,2,558,6.5
108,서울,2016-10-04,22,15.6,656,29,1501,,,,,,
108,서울,2016-10-05,21.1,17.5,2357,27.2,1429,,,,,,
108,서울,2016-10-06,18,13.6,659,23.5,1517,,,,,,
108,서울,2016-10-07,19.7,16.5,1,24.8,1411,7.5,.5,1740,1,2258,2
108,서울,2016-10-08,16.8,10.3,2357,21.8,1410,6.92,.5,1,2.5,6,6
108,서울,2016-10-09,11.3,6.5,635,16.6,1445,,,,,,
108,서울,2016-10-10,14,7.4,626,21.4,1525,,,,,,
108,서울,2016-10-11,15.4,10,554,21.1,1500,,,,,,
108,서울,2016-10-12,15.5,11.4,723,20.7,1531,,,,,,
108,서울,2016-10-13,15.2,9.3,656,21.9,1503,,,,,,
108,서울,2016-10-14,16.7,10.5,615,23.5,1351,,,,,,
108,서울,2016-10-15,19.1,12.4,640,27.1,1504,,,,,,
108,서울,2016-10-16,17.2,15.4,2349,19.5,1302,6.62,.5,1449,.5,1359,1.5
108,서울,2016-10-17,17.5,14.5,138,21.7,1311,,,,,,
108,서울,2016-10-18,17,11.2,701,24,1439,,,,,,
108,서울,2016-10-19,18,14,716,24.3,1339,,,,,,
108,서울,2016-10-20,18.6,12.9,704,25.8,1500,,,,,,
108,서울,2016-10-21,17.9,15.7,614,22,1335,,,,,,
108,서울,2016-10-22,18.3,14.5,733,22.8,1503,,,,,,
108,서울,2016-10-23,13.3,10.6,1730,17.8,1,7.42,.5,1455,1.5,1503,2.5
108,서울,2016-10-24,15.1,9,647,20.6,1533,,,,,,
108,서울,2016-10-25,14.1,12.5,636,17.5,1655,10.17,2.5,716,10,715,37
